Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,12.2192
Vertical Scale,0.001
Vertical Position,5
,
,
,
Label,
TIME,CH1
-4.408e-03,12.213
-4.407e-03,12.2133
-4.406e-03,12.2131
-4.405e-03,12.2132
-4.404e-03,12.2132
-4.403e-03,12.2132
-4.402e-03,12.2131
-4.401e-03,12.2131
-4.400e-03,12.2133
-4.399e-03,12.2134
-4.398e-03,12.2133
-4.397e-03,12.213
-4.396e-03,12.2132
-4.395e-03,12.2132
-4.394e-03,12.2129
-4.393e-03,12.2132
-4.392e-03,12.213
-4.391e-03,12.213
-4.390e-03,12.213
-4.389e-03,12.213
-4.388e-03,12.2132
-4.387e-03,12.2134
-4.386e-03,12.2133
-4.385e-03,12.213
-4.384e-03,12.2133
-4.383e-03,12.2131
-4.382e-03,12.2131
-4.381e-03,12.2132
-4.380e-03,12.213
-4.379e-03,12.213
-4.378e-03,12.213
-4.377e-03,12.2127
-4.376e-03,12.2132
-4.375e-03,12.213
-4.374e-03,12.2132
-4.373e-03,12.2133
-4.372e-03,12.2132
-4.371e-03,12.2132
-4.370e-03,12.2133
-4.369e-03,12.2134
-4.368e-03,12.2133
-4.367e-03,12.2134
-4.366e-03,12.2134
-4.365e-03,12.2132
-4.364e-03,12.2132
-4.363e-03,12.2131
-4.362e-03,12.213
-4.361e-03,12.2133
-4.360e-03,12.2132
-4.359e-03,12.2132
-4.358e-03,12.2133
-4.357e-03,12.2133
-4.356e-03,12.2134
-4.355e-03,12.2135
-4.354e-03,12.2132
-4.353e-03,12.2131
-4.352e-03,12.2129
-4.351e-03,12.2131
-4.350e-03,12.2131
-4.349e-03,12.2133
-4.348e-03,12.2129
-4.347e-03,12.2129
-4.346e-03,12.213
-4.345e-03,12.2131
-4.344e-03,12.2131
-4.343e-03,12.213
-4.342e-03,12.2132
-4.341e-03,12.213
-4.340e-03,12.2132
-4.339e-03,12.213
-4.338e-03,12.2132
-4.337e-03,12.213
-4.336e-03,12.213
-4.335e-03,12.2131
-4.334e-03,12.2133
-4.333e-03,12.213
-4.332e-03,12.2134
-4.331e-03,12.2132
-4.330e-03,12.2131
-4.329e-03,12.2131
-4.328e-03,12.213
-4.327e-03,12.213
-4.326e-03,12.213
-4.325e-03,12.2131
-4.324e-03,12.213
-4.323e-03,12.213
-4.322e-03,12.213
-4.321e-03,12.213
-4.320e-03,12.2128
-4.319e-03,12.2133
-4.318e-03,12.2132
-4.317e-03,12.2132
-4.316e-03,12.2133
-4.315e-03,12.2132
-4.314e-03,12.2131
-4.313e-03,12.2132
-4.312e-03,12.2131
-4.311e-03,12.2131
-4.310e-03,12.2131
-4.309e-03,12.2133
-4.308e-03,12.2131
-4.307e-03,12.2132
-4.306e-03,12.2133
-4.305e-03,12.2132
-4.304e-03,12.2131
-4.303e-03,12.2133
-4.302e-03,12.2134
-4.301e-03,12.213
-4.300e-03,12.213
-4.299e-03,12.2132
-4.298e-03,12.213
-4.297e-03,12.2131
-4.296e-03,12.2134
-4.295e-03,12.2132
-4.294e-03,12.2132
-4.293e-03,12.213
-4.292e-03,12.2134
-4.291e-03,12.2133
-4.290e-03,12.2132
-4.289e-03,12.2132
-4.288e-03,12.2132
-4.287e-03,12.2134
-4.286e-03,12.2132
-4.285e-03,12.2134
-4.284e-03,12.2133
-4.283e-03,12.2132
-4.282e-03,12.2135
-4.281e-03,12.2133
-4.280e-03,12.2132
-4.279e-03,12.2132
-4.278e-03,12.2133
-4.277e-03,12.213
-4.276e-03,12.213
-4.275e-03,12.2134
-4.274e-03,12.2132
-4.273e-03,12.2132
-4.272e-03,12.2133
-4.271e-03,12.2133
-4.270e-03,12.2135
-4.269e-03,12.2134
-4.268e-03,12.2136
-4.267e-03,12.2133
-4.266e-03,12.2133
-4.265e-03,12.2134
-4.264e-03,12.2132
-4.263e-03,12.2131
-4.262e-03,12.2134
-4.261e-03,12.2134
-4.260e-03,12.2133
-4.259e-03,12.2134
-4.258e-03,12.2132
-4.257e-03,12.2133
-4.256e-03,12.2132
